texto_conversacion,intencion_consenso,intencion_heuristica_baseline,fuente,fecha,estado_crm,etiqueta_crm
"CIUDAD: Manta | MENSAJE: Buenas tardes,Muchas gracias",INF,INF,WhatsApp,27/5/2024,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Hola, me interesa el pigmento rojo para el hormigón? En que presentaciónes vienen y cuál es el precio? Tal vez tienen algún distribuidor en Cuenca? | NOTAS: Se envió mensaje al cliente adjunto catalogo del producto interesado Pigmentos.",COT,COT,CRM2,22/10/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Se le envió información general y catalogos,INF,INF,CRM2,15/08/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO CATALAGOS Y PRESENTACION,INF,INF,CRM1,14/03/2023,Contactado,Informacion General
"ETIQUETA: Cotización Obra, Informacion General, Asesoramiento Tecnico | ESTADO: Contactado | NOTAS: AV INCA 300 M2 C/E Y 16 M2 PLACAS FIBROCEMENTO",COT,INF,CRM1,06/07/2023,Contactado,"Cotización Obra, Informacion General, Asesoramient"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: numero repetido-base de datos,INF,INF,CRM2,05/09/2023,Contactado,Informacion General
ETIQUETA: Email - Numero inválido | ESTADO: Nuevo | NOTAS: CONTACTO TELEFONICO ERIKA,,INF,CRM1,31/03/2023,Nuevo,Email - Numero inválido
ETIQUETA: Construex | ESTADO: Construex | NOTAS: PREGUNTA SOBRE ÁCIDOS Y TINTES,INF,INF,CRM2,22/08/2024,Construex,Construex
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envió información general",INF,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
"ETIQUETA: Sugerencias o Quejas | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Por favor quiero aplicar para una vacante de auxiliar de bodega , me puede ayudar con algún correo,por favor Asesor: Cual es tu nombre? | NOTAS: TRABAJAR CON NOSOTROS",QUE,QUE,CRM2,06/10/2023,Contactado,Sugerencias o Quejas
ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: cliente interesada en aditivo- cliente de Construex,TEC,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
CIUDAD: Manta | MENSAJE: ‎IMG-20260402-WA0014.jpg (archivo adjunto),,INF,WhatsApp,2/4/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Quisiera saber la disponibilidad de los pigmentos en color azul y rojo para hormigon | NOTAS: Se envia mensaje al cliente y se adjunta catalogo de Pigmentos,INF,INF,CRM2,10/12/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información curso LOJA Base de datos LOJA,CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Se envió WhatsApp de seguimiento,INF,SEG,CRM2,19/07/2023,Contactado,Informacion General
CIUDAD: Cuenca | MENSAJE: Bueno chicos muchísimas gracias por todo fue un taller muy enriquecedor,CUR,CUR,WhatsApp,24/11/2025,,
"ETIQUETA: Email inválido | ESTADO: Contactado | NOTAS: numero repetido,base de datos",,INF,CRM2,05/09/2023,Contactado,Email inválido
CIUDAD: Manta | MENSAJE: Genial ya te escribo,INF,INF,WhatsApp,9/9/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenas tardes a cuanto alquilas los moldes para estama Asesor: Cual es tu nombre? Cliente: Efrain Cayra Asesor: Yo me encargo de ponert | NOTAS: Se envió catálogo e info de moldes para alquiler",INF,INF,CRM2,22/07/2024,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Las juntas si com malla no con papel,INF,INF,WhatsApp,18/6/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Buenos días, quisiera detalles sobre el microcemento en paredes y pisos | NOTAS: se envió infromacion general sobre microcemento",INF,INF,CRM2,15/06/2024,Contactado,Informacion General
CIUDAD: Manta | MENSAJE: Yo vivo en Manta,INF,INF,WhatsApp,9/9/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO CATALOGO Y PRESENTACION,INF,INF,CRM1,14/03/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió informacion general y catálogos Base de datos casa abierta UIO,CUR,INF,CRM2,13/11/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Perdón yo creí que necesitaba sacar el microcemento,INF,INF,WhatsApp,8/4/2026,,
"ETIQUETA: Cotización Obra, Cotizacion Materiales, Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: desearia contactar con un vendedor. Requiero pisos de concreto para acceso vehicular 1500 m2 Asesor: Cual es tu nombre? Cliente: Diego  | NOTAS: Se le envió información y catalogo general",COT,COT,CRM2,20/03/2024,Contactado,"Cotización Obra, Cotizacion Materiales, Informacio"
"ETIQUETA: Informacion General, Desuscripto | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envio informacion general y catalogo",INF,SEG,CRM2,11/04/2024,En seguimiento,"Informacion General, Desuscripto"
ETIQUETA: Email - Numero inválido | ESTADO: numero no valido | NOTAS: se envió información general por correo,,INF,CRM2,09/11/2023,numero no valido,Email - Numero inválido
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catalogo y presentacion JEVA,INF,INF,CRM1,12/04/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes, una consulta, el producto del microcemento, es de fácil aplicación como para hacerlo uno mismo? Asesor: Cual es tu nombr",INF,INF,CRM1,28/06/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Busco polvo mineral para hormigon Asesor: Cual es tu nombre? Cliente: Carlos Asesor: Excelente Carlos. Yo me encargo de ponerte en cont | NOTAS: INFO PIGMENTOS",INF,INF,CRM2,19/10/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: ‎STK-20240125-WA0030.webp (archivo adjunto),,INF,WhatsApp,18/6/2025,,
"ETIQUETA: Cotizacion Materiales, Cliente Derivado provincias, Informacion General, Seguimiento de presentacion | ESTADO: En seguimiento | NOTAS: MOLDES Y MATERIALES C/E 75M2 -transferido gye aplicacion",COT,COT,CRM1,07/06/2023,En seguimiento,"Cotizacion Materiales, Cliente Derivado provincias"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catalogo y presentacion jeva,INF,INF,CRM1,28/03/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Nuevo | NOTAS: SE ENVIO CATALOGO Y PRESENTACION JEVA,INF,INF,CRM1,23/03/2023,Nuevo,Informacion General
CIUDAD: Manta | MENSAJE: Sera una gran muestra  de lo que podemos hacer con el material y seria fantastico que Usted lo vayan incluyendo  en sus ofertas !! 😉👍🏻,INF,INF,WhatsApp,4/3/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Se envia mensaje al cliente.,INF,INF,CRM2,07/10/2024,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Limpiarll con paños de fibra húmedos y vinagre,INF,INF,WhatsApp,8/4/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catalogo y presentacion agendas,INF,INF,CRM1,28/03/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Muchísimas gracias  estaré  pendiente muy pronto estaré asiendo adquisiciones  para una decoración  especial,INF,INF,WhatsApp,27/3/2026,,
"ETIQUETA: Cotización Obra, Informacion General | ESTADO: Contactado | NOTAS: 35 m2 c/e piso y gradas y 18 m2 micro",COT,INF,CRM1,31/03/2023,Contactado,"Cotización Obra, Informacion General"
"CIUDAD: Cuenca | MENSAJE: ubicación: https://maps.google.com/?q=-2.9026817,-79.0033633",INF,INF,WhatsApp,21/11/2025,,
"ETIQUETA: Cotización Obra, Venta ganada, Informacion General | ESTADO: Venta ganada | NOTAS: 10 M2 OBRA",VEN,INF,CRM2,22/11/2023,Venta ganada,"Cotización Obra, Venta ganada, Informacion General"
"ETIQUETA: Envio masivo whasapp, Email - Numero inválido | ESTADO: Contactado | NOTAS: Se envió WhatsApp masivo se envió catalogo y presentación!!",,INF,CRM1,20/03/2023,Contactado,"Envio masivo whasapp, Email - Numero inválido"
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Saludos , me interesa sus productos para pigmentar el cemento y piedras decorativas de jardin Asesor: Cual es tu nombre? Cliente: Mario | NOTAS: Se envia mensaje al cliente y se adjunta catalogo general de productos.",INF,INF,CRM2,08/12/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envió informacion general y catálogos",INF,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
"ETIQUETA: Cotizacion Materiales, Asesoramiento Tecnico | ESTADO: Venta ganada | NOTAS: 150 CE FUNDICION PUYO ASISTENCIA TECNICA",VEN,COT,CRM2,12/12/2023,Venta ganada,"Cotizacion Materiales, Asesoramiento Tecnico"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: ACIDO EN PISO Y SELLO COLEGIO,INF,INF,CRM1,06/07/2023,Contactado,Informacion General
ETIQUETA: Cotización Obra | ESTADO: Contactado | NOTAS: 50 M2 MICRO EN PAREDES,COT,INF,CRM2,08/03/2024,Contactado,Cotización Obra
ETIQUETA: Cotización Obra | ESTADO: Contactado | NOTAS: 45 M2 C/E EN FUNDICION,COT,INF,CRM2,12/10/2023,Contactado,Cotización Obra
"CIUDAD: Quito | MENSAJE: El diseño yo ya le hice ,lo que Deseo es en microcemento que me den haciendo una pequeña muestra para ver cómo queda de lujo con los productos de Roktec",INF,INF,WhatsApp,29/11/2025,,
CIUDAD: Quito | MENSAJE: Es un efecto marmoleado 😂,INF,INF,WhatsApp,2/7/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: información sobre concreto estampado,INF,INF,CRM2,12/12/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: ‎VID-20250719-WA0001.mp4 (archivo adjunto),,INF,WhatsApp,19/7/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos dias, quisiera cotizar para Manta 100m2 de este tipo de pisos, me puede ayudar cuanto es el costo por m2 Asesor: Cual es tu nomb | NOTAS: Interesado en microcemento para la ciudad de Manta",COT,COT,CRM2,08/07/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envío información general y catálogos,INF,INF,CRM2,14/09/2023,Contactado,Informacion General
ETIQUETA: Cotización Obra | ESTADO: En seguimiento | NOTAS: 250 m2 C/E FUNDICION,COT,SEG,CRM2,29/11/2023,En seguimiento,Cotización Obra
"CIUDAD: Guayaquil | MENSAJE: Pero el tenía la premura, vamos dando paso a paso, muchas gracias",INF,INF,WhatsApp,20/12/2025,,
"ETIQUETA: Cotización Obra, Informacion General, Seguimiento de presentacion | ESTADO: En seguimiento | NOTAS: C/E 19M2 gradas USA",COT,SEG,CRM1,08/06/2023,En seguimiento,"Cotización Obra, Informacion General, Seguimiento "
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buen día. Necesito info para diseño de fachadas Asesor: Cual es tu nombre? Cliente: Rubén Asesor: Excelente Ruben. Yo me encargo de pon | NOTAS: se envió información general,información micro en fachadas",INF,INF,CRM2,10/11/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Poniendo en práctica lo aprendido 😁😁😁 Arq,INF,INF,WhatsApp,14/4/2025,,
"ETIQUETA: Email - Numero inválido | ESTADO: numero no valido | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos días, favor cotizar un recubrimiento de piso Ucrete para un cuarto de congelación. 75m2 con 6mm de recubrimiento del Ucrete. Me ",COT,INF,CRM2,16/10/2024,numero no valido,Email - Numero inválido
"CIUDAD: Manta | MENSAJE: Gracias, páseme por interno",INF,INF,WhatsApp,25/4/2024,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenas tardes necesito Desmoldante en base a agua para moldes DE inyección DE plásticos Asesor: Cual es tu nombre? Asesor: Cliente: eri",INF,INF,CRM2,09/05/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: información curso LOJA base de datos,CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
"ETIQUETA: Cliente Derivado provincias | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Asesor: Como estás? Contame, qué estabas buscando? Cliente: Aplican en Ambato Asesor: Cual es tu nombre? Cliente: Necesito para 2  | NOTAS: JEVA LLAMO DE AMBATO, SE DIRECCIONO",INF,INF,CRM1,29/03/2023,Contactado,Cliente Derivado provincias
CIUDAD: Quito | MENSAJE: y el acabado final logra con la experiencia del maestro o tecnico de aplicacion...,INF,TEC,WhatsApp,21/4/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: CLIENTE FERIA CLAVE CUMBAYA ( CONSTRUCTORA,INF,INF,CRM2,25/06/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: hola buen día Asesor: Cual es tu nombre? Cliente: Gabriela Asesor: Excelente Ga | NOTAS: Se le envió información general y catálogos",INF,INF,CRM2,31/08/2023,Contactado,Informacion General
CIUDAD: Manta | MENSAJE: Recuerden que esto super fácil hacer ... con codal y espátula no hay ciencia 😉,INF,INF,WhatsApp,2/4/2026,,
ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: se envío información general y catálogos,INF,SEG,CRM2,27/05/2024,En seguimiento,Informacion General
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE CONSTRUEX,se envió información y catalogo general",INF,SEG,CRM2,20/06/2024,En seguimiento,Informacion General
"CIUDAD: Quito | MENSAJE: Buenas noches este es mi diseño,un favor si le pueden sacar en Microcemento con Roktec.??? Gracias.",INF,INF,WhatsApp,29/11/2025,,
"ETIQUETA: Email - Numero inválido | ESTADO: Nuevo | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes necesito comprar unos productos Asesor: Cual es tu nombre? Cliente: Julio Guerrero Asesor: Excelente Julio. Yo me encargo",INF,VEN,CRM1,10/07/2023,Nuevo,Email - Numero inválido
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Buenas tardes, estoy haciendo una construcción en el poblado de las Tunas junto al mar, provincia de Manabí, 20 min al sur de Puerto Lopez. Deseo ver las opciones de acabados para losa y los diferente | NOTAS: Se adjunta informacion sobre Concreto Estampado.",INF,INF,CRM2,04/09/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenas tardes, necesito saber cual es el espesor mínimo para hacer el estampado tipo madera, que producto final se coloca para el brill | NOTAS: se envió información general y catalogo",TEC,INF,CRM2,04/07/2024,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Y no es factible la placa de humedad en vez de la normal,INF,INF,WhatsApp,18/6/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catálogos y presentacion Jeva,INF,INF,CRM1,05/04/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: BASE CLIENTE/DISTRIBUIDOR FERRETERO,se envió información general y catalogo",INF,INF,CRM2,13/05/2024,Contactado,Informacion General
ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | NOTAS: C/E PARED 30 M2,COT,COT,CRM2,10/10/2023,Contactado,Cotizacion Materiales
"ETIQUETA: Cliente Derivado provincias, Venta ganada, Informacion General | ESTADO: Contactado | NOTAS: Venta de pigmento azul direccionado a BOMANITE",VEN,INF,CRM1,02/06/2023,Contactado,"Cliente Derivado provincias, Venta ganada, Informa"
CIUDAD: Guayaquil | MENSAJE: Saludos chicos los que hicieron el taller y quieren volver a repetirlo no tiene costo pero máximo podemos recibir 3 personas extras por curso,COT,COT,WhatsApp,16/9/2025,,
CIUDAD: Loja | MENSAJE: Esta los depositos.,INF,INF,WhatsApp,26/11/2024,,
CIUDAD: Quito | MENSAJE: Son el tipo terminado de placas  que se aprecia en la pared posterior,INF,INF,WhatsApp,21/4/2026,,
"ETIQUETA: Cotización Obra, Informacion General, Seguimiento de presentacion | ESTADO: En seguimiento | NOTAS: C/E 150m2 SANGOLQUI / no contesta despues del seguimiento",COT,SEG,CRM1,08/06/2023,En seguimiento,"Cotización Obra, Informacion General, Seguimiento "
CIUDAD: Guayaquil | MENSAJE: Cuántos metros son gracias,INF,INF,WhatsApp,25/3/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: CLIENTE FERIA CUMBAYA, CONSTRUCTORA",INF,INF,CRM2,28/06/2024,Contactado,Informacion General
CIUDAD: Guayaquil | MENSAJE: ¡Saludos a todos 🙋🏻‍♀️!,INF,INF,WhatsApp,30/6/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: Que colores hay de concreto estampado? Asesor: Cual es tu nombre? | NOTAS: Se envia mensaje a correo electronico solicitando contacto para enviar mas informacion.",INF,INF,CRM2,04/12/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes. Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: Necesito colocar un recubrimiento de micro cemento en u | NOTAS: cotizacion de una pared en microcemento ( pagina web )",COT,COT,CRM1,31/05/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFORMACION CURSO LOJA BASE DE DATOS,CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
"CIUDAD: Manta | MENSAJE: Muchas gracias, saludos al grupo por agregarme mi correo es delgadov683@gmail.com",INF,INF,WhatsApp,25/4/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Ayúdame con la preparación??? Por fa | NOTAS: INFO MICRO,TEC,INF,CRM2,30/10/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: ‎STK-20240902-WA0034.webp (archivo adjunto),,INF,WhatsApp,14/5/2025,,
CIUDAD: Manta | MENSAJE: Oro verde de Portoviejo ?,INF,INF,WhatsApp,4/3/2025,,
ETIQUETA: Email - Numero inválido | ESTADO: Nuevo | NOTAS: EL NUMERO ESTA INOCORRECTO,,INF,CRM2,15/08/2023,Nuevo,Email - Numero inválido
ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE INTERESADO EN ADITIVO LIGANTE - CLIENTE DE CONSTRUEX,TEC,SEG,CRM2,03/04/2024,En seguimiento,Informacion General
"CIUDAD: Quito | MENSAJE: Está hermoso, que herramientas uso?",TEC,TEC,WhatsApp,19/7/2025,,
ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: se envió información y presentación completa,INF,INF,CRM1,22/02/2023,Contactado,Envio masivo whasapp
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE CONSTRUEX,se envio informacion y catalogo general",INF,SEG,CRM2,27/05/2024,En seguimiento,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE LE ENVIO COTIZACION DE 50M2 DE MICROPARED CON ASISTENCIA TECNICA hora quiere cotizacion de concreto estampado,COT,COT,CRM1,15/06/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Ambato presente,INF,INF,WhatsApp,21/10/2025,,
CIUDAD: Manta | MENSAJE: Saludos a todos gracias por su entusiasmo e interés en el Taller del fin de semana .,CUR,CUR,WhatsApp,25/4/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió el WhatsApp de información y mail pigmentos,INF,INF,CRM1,13/02/2023,Contactado,Informacion General
ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: Se envió WhatsApp masivo se envió catalogo y presentación,INF,INF,CRM1,20/03/2023,Contactado,Envio masivo whasapp
ETIQUETA: Venta ganada | ESTADO: Contactado | NOTAS: YA SE ENVIO COTIZACION Y FACTURA,VEN,COT,CRM1,12/05/2023,Contactado,Venta ganada
"ETIQUETA: Cotizacion Materiales, Informacion General | ESTADO: En seguimiento | NOTAS: Es un sr que hizo el curso y esta interesado en colocar microcemento en un área de un centro comercial, se le envió cotización de materiales e información de fibra de polipropileno",COT,COT,CRM2,14/08/2023,En seguimiento,"Cotizacion Materiales, Informacion General"
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Buenos días tal vez me puede ayudar cotizando unos microcementos por favor. Gracias Asesor: Cual es tu nombre? Cliente: Geovanna R | NOTAS: información micro",COT,INF,CRM2,09/05/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenas tardes Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: tiene a la venta moldes para concreto estampado Asesor:  | NOTAS: se envió información general y catalogo",INF,INF,CRM2,04/06/2024,Contactado,Informacion General
ETIQUETA: Aplicador | ESTADO: APLICADORES | NOTAS: Curso Quito Febrero,CUR,CUR,CRM2,27/02/2024,APLICADORES,Aplicador
CIUDAD: Guayaquil | MENSAJE: ‎STK-20250718-WA0009.webp (archivo adjunto),,INF,WhatsApp,18/7/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: base de datos,INF,INF,CRM2,05/09/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenos días , por favor una consulta, necesito reparar/enlucir el piso de un garage interior aprox. 40mts2, quisiera aplicarle color *l | NOTAS: Cliente requiere reparar piso de 40m2, en espera de número de contacto para asesoría",INF,INF,CRM2,22/07/2024,Contactado,Informacion General
"ETIQUETA: No concretada, Informacion General | ESTADO: Contactado | NOTAS: C/E ALQUILER SIN COMPRA DE MATERIALES",INF,VEN,CRM1,06/06/2023,Contactado,"No concretada, Informacion General"
CIUDAD: Quito | MENSAJE: Muy buenas tardes.  Gracias.,INF,INF,WhatsApp,26/8/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO COTIZACION DE KIT DE MICROCEMENTO PARA 20M2,COT,COT,CRM2,25/07/2023,Contactado,Informacion General
ETIQUETA: Email inválido | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,,SEG,CRM2,11/04/2024,En seguimiento,Email inválido
"ETIQUETA: Cotización Obra, Cotizacion Materiales, Informacion General | ESTADO: En seguimiento | NOTAS: Esta interesado en microcemento 100m2 para una vivienda",COT,COT,CRM2,14/08/2023,En seguimiento,"Cotización Obra, Cotizacion Materiales, Informacio"
"ETIQUETA: Cotización Obra, Email inválido | ESTADO: Contactado | NOTAS: 60 m2 C/E TERRAZA TUMBACO",,INF,CRM2,27/09/2023,Contactado,"Cotización Obra, Email inválido"
CIUDAD: Quito | MENSAJE: Me pueden ayudar qué material necesito para darle este terminado,INF,INF,WhatsApp,21/4/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Prospecto feria Clave,se envió información general y catalogo",INF,INF,CRM2,14/06/2024,Contactado,Informacion General
"CIUDAD: Loja | MENSAJE: Buenos días, por favor me pueden ayudar con un video de aplicación de concreto estampado?",INF,INF,WhatsApp,18/12/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PROYECTO DE PARQUE MICRO / SUGUERENCIA DE PIGMENTO,INF,INF,CRM1,17/07/2023,Contactado,Informacion General
ETIQUETA: Email inválido | ESTADO: Nuevo | NOTAS: BASE CLIENTE/DISTRIBUIDOR FERRETERO,,INF,CRM2,13/05/2024,Nuevo,Email inválido
"ETIQUETA: Cotización Obra, No concretada, Informacion General | ESTADO: Contactado | NOTAS: proyecto de 19 casas micro 165 c/casa/ no esta interesada",COT,INF,CRM1,05/06/2023,Contactado,"Cotización Obra, No concretada, Informacion Genera"
ETIQUETA: Venta ganada | ESTADO: Cliente Frecuente | NOTAS: ACIDOS,VEN,INF,CRM1,09/06/2023,Cliente Frecuente,Venta ganada
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO INFORMACION GENERAL Y CATALOGOS,INF,INF,CRM2,09/11/2023,Contactado,Informacion General
"ETIQUETA: Informacion General, Email inválido | ESTADO: Contactado | NOTAS: se envió información general y catálogos Base de datos casa abierta UIO",CUR,INF,CRM2,13/11/2023,Contactado,"Informacion General, Email inválido"
CIUDAD: Cuenca | MENSAJE: Buenos días estimados adjuntamos catálogos y manuales instructivos para su conocimiento,INF,INF,WhatsApp,4/12/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO SELLO,INF,INF,CRM2,16/02/2024,Contactado,Informacion General
CIUDAD: Guayaquil | MENSAJE: La Cartilla de Colores aplica para los morteros Thin-set?,INF,INF,WhatsApp,26/8/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: mail pigmentos,INF,INF,CRM1,13/02/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: informacion curso LOJA Base de datos,CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Maeatro que bien !!!!,INF,INF,WhatsApp,24/3/2025,,
CIUDAD: Quito | MENSAJE: ‎IMG-20250324-WA0002.jpg (archivo adjunto),,INF,WhatsApp,22/3/2025,,
"CIUDAD: Quito | MENSAJE: Estimados aplicadores,",INF,INF,WhatsApp,30/3/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catalogas y presentación,INF,INF,CRM1,08/05/2023,Contactado,Informacion General
"ETIQUETA: Email inválido, Aplicador | ESTADO: APLICADORES | NOTAS: CURSO QUITO FEBRERO",CUR,CUR,CRM2,27/02/2024,APLICADORES,"Email inválido, Aplicador"
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes. Disculpe venta de cemento? Asesor: Cual es tu nombre? Asesor: Sigues ahí? Cliente: Sebastián Carrera Asesor: Excelente S",INF,INF,CRM1,27/06/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Buenos días ya está emplasticado,INF,INF,WhatsApp,20/6/2025,,
"ETIQUETA: Cotización Obra, Informacion General | ESTADO: En seguimiento | NOTAS: 200 M2 PISO DE ENDURECEDOR",COT,SEG,CRM2,07/11/2023,En seguimiento,"Cotización Obra, Informacion General"
